Organism,Number of pre-miRNA sequences,Number of sequences that have  G4,% of seq. with G4
Selaginella moellendorffii,58,0,0.00
Triticum aestivum,116,0,0.00
Dictyostelium discoideum,17,0,0.00
Mouse cytomegalovirus,18,0,0.00
Brassica oleracea,10,0,0.00
Brassica rapa,96,0,0.00
Vitis vinifera,163,0,0.00
Symphalangus syndactylus,11,0,0.00
Pygathrix bieti,11,0,0.00
Oikopleura dioica,66,0,0.00
Ciona intestinalis,348,0,0.00
Ciona savignyi,27,0,0.00
Solanum lycopersicum,77,0,0.00
Drosophila ananassae,76,0,0.00
Drosophila erecta,81,0,0.00
Drosophila grimshawi,82,0,0.00
Drosophila mojavensis,71,0,0.00
Drosophila persimilis,75,0,0.00
Drosophila sechellia,78,0,0.00
Drosophila simulans,135,0,0.00
Drosophila virilis,134,0,0.00
Drosophila willistoni,77,0,0.00
Drosophila yakuba,76,0,0.00
JC polyomavirus,1,0,0.00
BK polyomavirus,1,0,0.00
Branchiostoma floridae,156,0,0.00
Capitella teleta,129,0,0.00
Lottia gigantea,59,0,0.00
Nematostella vectensis,141,0,0.00
Strongylocentrotus purpuratus,63,0,0.00
Amphimedon queenslandica,8,0,0.00
Cerebratulus lacteus,2,0,0.00
Haliotis rufescens,5,0,0.00
Hydra magnipapillata,17,0,0.00
Ixodes scapularis,49,0,0.00
Vigna unguiculata,18,0,0.00
Tribolium castaneum miR-9a,1,0,0.00
Tribolium castaneum bantam,1,0,0.00
Tribolium castaneum miR-970,1,0,0.00
Tribolium castaneum miR-263a,1,0,0.00
Tribolium castaneum miR-279b,1,0,0.00
Tribolium castaneum miR-993,1,0,0.00
Tribolium castaneum miR-965,1,0,0.00
Tribolium castaneum miR-315,1,0,0.00
Tribolium castaneum miR-1000,1,0,0.00
Tribolium castaneum miR-981,1,0,0.00
Tribolium castaneum miR-304,1,0,0.00
Anopheles gambiae miR-190,1,0,0.00
Anopheles gambiae miR-929,1,0,0.00
Anopheles gambiae miR-927,1,0,0.00
Anopheles gambiae miR-993,1,0,0.00
Anopheles gambiae miR-988,1,0,0.00
Anopheles gambiae miR-970,1,0,0.00
Anopheles gambiae miR-957,1,0,0.00
Anopheles gambiae miR-137,1,0,0.00
Anopheles gambiae miR-965-1,1,0,0.00
Anopheles gambiae miR-965-2,1,0,0.00
Anopheles gambiae miR-1000,1,0,0.00
Anopheles gambiae miR-286,1,0,0.00
Anopheles gambiae miR-263b,1,0,0.00
Anopheles gambiae miR-309,1,0,0.00
Apis mellifera miR-252,1,0,0.00
Apis mellifera miR-13b,1,0,0.00
Apis mellifera miR-996,1,0,0.00
Apis mellifera miR-263b,1,0,0.00
Apis mellifera miR-92b-1,1,0,0.00
Apis mellifera miR-92b-2,1,0,0.00
Apis mellifera miR-985,1,0,0.00
Apis mellifera miR-1000,1,0,0.00
Apis mellifera miR-1006,1,0,0.00
Apis mellifera miR-981,1,0,0.00
Apis mellifera miR-316,1,0,0.00
Apis mellifera miR-993,1,0,0.00
Bombyx mori miR-252,1,0,0.00
Bombyx mori miR-970,1,0,0.00
Bombyx mori miR-965,1,0,0.00
Bombyx mori miR-274,1,0,0.00
Bombyx mori miR-993b,1,0,0.00
Bombyx mori miR-993a,1,0,0.00
Locusta migratoria,7,0,0.00
Merkel cell polyomavirus,1,0,0.00
Schistosoma japonicum,56,0,0.00
Schistosoma mansoni,115,0,0.00
Malus domestica,206,0,0.00
Phaseolus vulgaris,8,0,0.00
Caenorhabditis remanei,157,0,0.00
Pristionchus pacificus,354,0,0.00
Aquilegia caerulea,45,0,0.00
Daphnia pulex,44,0,0.00
Herpesvirus of turkeys,17,0,0.00
Infectious laryngotracheitis virus,7,0,0.00
Populus euphratica,4,0,0.00
Bovine herpesvirus 1,10,0,0.00
Citrus trifoliata,6,0,0.00
Citrus clementina,5,0,0.00
Citrus reticulata,4,0,0.00
Brugia malayi,115,0,0.00
Acyrthosiphon pisum,123,0,0.00
Ricinus communis,63,0,0.00
Aedes aegypti,101,0,0.00
Gossypium arboreum,1,0,0.00
Culex quinquefasciatus,74,0,0.00
Arabidopsis lyrata,205,0,0.00
Ectocarpus siliculosus,47,0,0.00
Nasonia vitripennis,53,0,0.00
Arachis hypogaea,23,0,0.00
Picea abies,40,0,0.00
Strigamia maritima,3,0,0.00
Triticum turgidum,1,0,0.00
Festuca arundinacea,15,0,0.00
Nasonia giraulti,32,0,0.00
Nasonia longicornis,28,0,0.00
Bruguiera gymnorhiza,4,0,0.00
Bruguiera cylindrica,4,0,0.00
Theobroma cacao,82,0,0.00
Xenoturbella bocki,8,0,0.00
Echinococcus granulosus,23,0,0.00
Echinococcus multilocularis,22,0,0.00
Heliconius melpomene,92,0,0.00
Glottidia pyramidata,1,0,0.00
Terebratulina retusa,1,0,0.00
Rehmannia glutinosa,32,0,0.00
Bandicoot papillomatosis carcinomatosis virus type 1,1,0,0.00
Bandicoot papillomatosis carcinomatosis virus type 2,1,0,0.00
Saccharum sp.,19,0,0.00
Rhipicephalus microplus,24,0,0.00
Ascaris suum,97,0,0.00
Acacia auriculiformis,7,0,0.00
Acacia mangium,3,0,0.00
Phaeodactylum tricornutum,13,0,0.00
Herpesvirus saimiri strain A11,3,0,0.00
Macropus eugenii,3,0,0.00
Salvia sclarea,18,0,0.00
Tetranychus urticae,52,0,0.00
Human herpesvirus 6B,4,0,0.00
Digitalis purpurea,13,0,0.00
Elaeis guineensis,6,0,0.00
Manduca sexta,98,0,0.00
Cynara cardunculus,48,0,0.00
Panax ginseng,29,0,0.00
Hevea brasiliensis,31,0,0.00
Marsupenaeus japonicus,5,0,0.00
Pinus densata,29,0,0.00
Paralichthys olivaceus,20,0,0.00
Helianthus annuus,6,0,0.00
Helianthus ciliaris,3,0,0.00
Helianthus tuberosus,16,0,0.00
Helianthus argophyllus,3,0,0.00
Helianthus petiolaris,3,0,0.00
Helianthus exilis,2,0,0.00
Hippoglossus hippoglossus,40,0,0.00
Bovine leukemia virus,5,0,0.00
Cunninghamia lanceolata,4,0,0.00
Duck enteritis virus,24,0,0.00
Artibeus jamaicensis,19,0,0.00
Ictalurus punctatus,281,0,0.00
Caenorhabditis brenneri,214,0,0.00
Sycon ciliatum,1,0,0.00
Leucosolenia complicata,1,0,0.00
Patiria miniata,49,0,0.00
Lytechinus variegatus,50,0,0.00
Avicennia marina,2,0,0.00
Panagrellus redivivus,200,0,0.00
Branchiostoma belcheri,118,0,0.00
Strongyloides ratti,106,0,0.00
Phytophthora infestans,1,0,0.00
Phytophthora sojae,2,0,0.00
Phytophthora ramorum,2,0,0.00
Gyrodactylus salaris,60,0,0.00
Bovine foamy virus,2,0,0.00
Oryctolagus cuniculus,12,0,0.00
Tupaia chinensis,177,0,0.00
Aegilops tauschii,88,0,0.00
